District	Area	Sq.Ft	Crime Rate	Dis.NS	Price
District 1	Urban	3569	0.03	1	12.00
District 1	Urban	4584	0.05	1	9.59
District 1	Urban	4588	0.02	2	10.86
District 1	Urban	3649	0.06	2	11.90
District 1	Urban	5644	0.04	3	9.75
District 1	Rural	4686	0.05	3	7.88
District 1	Rural	3554	0.05	1	8.18
District 1	Rural	4764	0.03	2	8.40
District 1	Rural	4355	0.02	3	6.98
District 1	Rural	5706	0.01	2	9.29
District 1	Rural	5624	0.05	1	8.58
District 1	Rural	3168	0.02	1	8.69
District 1	Rural	3376	0.04	2	4.30
District 2	Urban	5918	0.06	3	7.08
District 2	Urban	3417	0.07	1	9.69
District 2	Urban	4842	0.06	2	8.04
District 2	Rural	4870	0.02	1	12.79
District 2	Rural	3041	0.04	3	6.39
District 2	Rural	4353	0.02	2	7.54
District 2	Rural	4170	0.05	2	7.98
District 2	Rural	4655	0.00	1	7.58
District 2	Rural	4121	0.02	3	4.19
District 2	Urban	4094	0.03	2	9.24
District 2	Urban	5737	0.04	1	17.08
District 2	Urban	4877	0.03	3	8.20
District 2	Urban	3214	0.05	2	9.77
District 3	Urban	3843	0.05	1	12.17
District 3	Urban	5362	0.07	2	10.87
District 3	Rural	5295	0.05	2	10.01
District 3	Rural	3568	0.02	1	6.04
District 3	Rural	3572	0.01	1	7.98
District 3	Rural	5436	0.04	3	7.20
District 3	Rural	5827	0.00	3	6.53
District 3	Rural	5744	0.03	2	12.18
District 3	Urban	3619	0.04	1	12.12
District 3	Urban	3167	0.06	2	5.87
District 3	Urban	5531	0.04	1	9.93
District 3	Urban	4158	0.03	3	4.87
District 4	Urban	4265	0.07	2	11.17
District 4	Urban	4845	0.03	3	9.12
District 4	Urban	4488	0.05	1	12.27
District 4	Rural	4711	0.04	2	5.91
District 4	Rural	3759	0.02	3	5.37
District 4	Rural	4041	0.00	2	8.38
District 4	Urban	3689	0.02	1	14.10
District 4	Urban	3157	0.04	2	7.62
District 4	Urban	4198	0.06	1	10.23
District 4	Urban	4714	0.06	1	11.54
District 4	Urban	3590	0.07	3	4.62
District 4	Rural	4178	0.01	3	2.90
District 5	Rural	3192	0.01	2	7.23
District 5	Rural	3260	0.03	2	7.50
District 5	Rural	4783	0.01	1	8.20
District 5	Rural	4525	0.02	1	8.00
District 5	Rural	5435	0.03	2	7.97
District 5	Urban	4725	0.06	3	5.36
District 5	Urban	3751	0.03	2	12.06
District 5	Urban	5352	0.06	3	9.35
District 5	Urban	5407	0.07	1	14.22
District 5	Rural	5668	0.03	2	7.24
District 5	Rural	3383	0.01	3	5.79
District 6	Rural	4228	0.00	2	7.30
District 6	Rural	5621	0.03	1	8.17
District 6	Rural	5591	0.02	3	6.89
District 6	Rural	4371	0.01	2	7.90
District 6	Urban	4856	0.05	1	12.20
District 6	Urban	4780	0.04	3	7.06
District 6	Urban	5438	0.02	2	10.47
District 6	Urban	5734	0.04	1	12.08
District 6	Rural	3752	0.03	2	6.35
District 6	Urban	3579	0.06	2	11.05
District 6	Rural	3430	0.00	3	4.93
District 6	Urban	5892	0.04	1	12.61
District 6	Urban	4628	0.05	2	7.26
District 7	Rural	5695	0.04	3	7.68
District 7	Rural	3958	0.02	2	8.86
District 7	Rural	4823	0.04	1	10.29
District 7	Rural	3680	0.00	2	10.82
District 7	Rural	5314	0.05	3	4.87
District 7	Rural	3344	0.01	1	8.24
District 7	Urban	5524	0.04	2	10.24
District 7	Urban	3930	0.03	3	11.66
District 7	Urban	4656	0.05	3	8.23
District 7	Urban	3986	0.07	2	11.66
District 7	Urban	4505	0.07	2	9.52
District 7	Urban	3515	0.05	1	12.04
District 7	Urban	4296	0.04	1	12.54
District 7	Urban	4293	0.03	1	14.48
